n,text,label
1584,Certidão de Publicação Expedida Relação :0391/2016 Data da Disponibilização: 27/10/2016 Data da Publicação: 31/10/2016 Número do Diário: 2230 Página: 2161/2173,H:Ativo
1585,Certidão de Trânsito em Julgado com Baixa Expedida Certifico e dou fé que a r. sentença de fls. 95 transitou em julgado em 18 de abril de 2018. Certifico ainda que o processo foi baixado definitivamente no sistema e será arquivado oportunamente. Nada Mais.,H:Arquivado
1586,Arquivado Provisoriamente,H:Suspenso
1587,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
1588,Tipo do Movimento:Publicado  Sentença Folhas do DJERJ.:508/518,H:Arquivado
1589,Remetidos os Autos para a Administração - Destruição,H:Arquivado
1590,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:1861Maço recebido pelo arquivo em:18/12/2015Local de arquivamento:Arquivo Regional de Rio Bonito,H:Arquivado
1591,Autos no Prazo,H:Ativo
1592,AR Positivo Juntado,H:Ativo
1593,Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital,H:Arquivado
1594,Petição Juntada Nº Protocolo: WFPA.19.70069769-0 Tipo da Petição: Petições Diversas Data: 15/02/2019 14:56,H:Arquivado
1595,Certidão de Cartório Expedida CERTIDÃO PRAZO - NÃO MANIFESTAÇÃO - INSTAURAÇÃO CUMPRIMENTO SENTENÇA DIGITAL - NÃO CUSTAS - ARQUIVO,H:Arquivado
1596,Tipo do Movimento:RemessaDestinatário:Central de Arquivamento Prazo:15 dia(s),H:Arquivado
1597,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
1598,Suspensão do Prazo Prazo referente à movimentação foi alterado para 17/08/2015 devido à alteração da tabela de feriados,H:Arquivado
1599,Arquivado Definitivamente Remetido ao arquivo - caixa 5201/2019,H:Arquivado
1600,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 8ª Vara de Fazenda Pública,H:Ativo
1601,Certidão de Publicação Expedida Relação :0100/2018 Data da Disponibilização: 23/03/2018 Data da Publicação: 26/03/2018 Número do Diário: 2542 Página:,H:Suspenso
1602,Certidão de Cartório Expedida Certidão - Genérica,H:Ativo
1603,Ofício Expedido Ofício - Genérico,H:Ativo
1604,Autos no Prazo pz 26/02/19,H:Ativo
1605,Decurso de Prazo DECURSO DE PRAZO,H:Arquivado
1606,Arquivado Definitivamente,H:Arquivado
1607,Arquivado Definitivamente,H:Arquivado
1608,Autos no Prazo AGUARDANDO PAGAMENTO - CAIXA DE ORDEM 35 Vencimento: 30/01/2019,H:Ativo
1609,Arquivado Definitivamente,H:Arquivado
1610,Carta de Citação Expedida Processo Digital - Carta - Citação e Intimação - Monitória - Pagamento - Cível - NOVO CPC,H:Ativo
1611,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
1612,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados,H:Arquivado
1613,Decisão,H:Ativo
1614,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoSituação:Em fase de encaminhamento ao arquivo,H:Arquivado
1615,Certidão de Publicação Expedida Relação :0067/2019 Data da Disponibilização: 08/03/2019 Data da Publicação: 11/03/2019 Número do Diário: 2763 Página: 1509/1532,H:Ativo
1616,Baixa Definitiva,H:Arquivado
1617,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoSituação:Em fase de encaminhamento ao arquivo,H:Arquivado
1618,Arquivado Definitivamente,H:Arquivado
1619,Tipo do Movimento:Ato Ordinatório Praticado Descrição:À digitação de certidão de dívida.,H:Ativo
1620,Tema S0948 - Nossa Caixa - Liquidação ACP - Não Associado,H:Ativo
1621,Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital,H:Arquivado
1622,Arquivado Definitivamente,H:Arquivado
1623,Arquivado Definitivamente,H:Arquivado
1624,Certidão de Publicação Expedida Relação :0597/2018 Data da Disponibilização: 23/01/2019 Data da Publicação: 24/01/2019 Número do Diário: 2734 Página: 1529/1538,H:Ativo
1625,"Arquivado Definitivamente ENTINTO-ARTIGO 485, VIII, CPC. CX 6244/18 9001971055752 1º VOL. 9001971055751 2º VOL. 9001971055753 3º VOL.",H:Arquivado
1626,Arquivado Definitivamente,H:Arquivado
1627,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 3ª. Vara Cível,H:Ativo
1628,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
1629,Suspensão do Prazo Prazo referente ao usuário foi alterado para 05/04/2019 devido à alteração da tabela de feriados,H:Ativo
1630,Baixa Definitiva,H:Arquivado
1631,Certidão de Publicação Expedida Relação :0052/2019 Data da Disponibilização: 01/04/2019 Data da Publicação: 02/04/2019 Número do Diário: 2779 Página: 3056/3073,H:Ativo
1632,Arquivado Definitivamente,H:Arquivado
1633,Certidão de Cartório Expedida Certidão - Genérica,H:Ativo
1634,Certidão Automática - Cadastro de Originário no 2º Grau – Expedida Certidão de cadastro do incidente ao 2º grau,H:Ativo
1635,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:3223Maço recebido pelo arquivo em:03/07/2013Local de arquivamento:Arquivo Geral - Rio de Janeiro,H:Arquivado
1636,"Arquivado Definitivamente data da sentença: 25/08/15 fundamento legal: art. 794, I, do CPC transito em julgado: 14/10/15",H:Arquivado
1637,Tipo do Movimento:Juntada - Petição Descrição da juntada:Documento eletrônico juntado de forma automática.,H:Ativo
1638,"Arquivado Definitivamente ART. 924, II, do CPC. T.J. em 10/12/2018",H:Arquivado
1639,Recebidos os Autos do Ministério Público Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 5ª. Vara Criminal,H:Ativo
1640,Arquivado Definitivamente,H:Arquivado
1641,Trânsito em Julgado às partes - com Baixa,H:Arquivado
1642,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoSituação:Em fase de encaminhamento ao arquivo,H:Arquivado
1643,AR Negativo Juntado - Endereço Insuficiente Juntada de AR : AR961894899TJ Situação : Endereço insuficiente Modelo : Processo Digital - Carta - Citação - Título Executivo Extrajudicial - Cível - NOVO CPC Destinatário : Daniel Jose Ribeiro,H:Ativo
1644,Carta Precatória Juntada,H:Ativo
1645,Cancelada a Distribuição (movimentação exclusiva do distribuidor) Cancelado conforme r. decisão de fls. 49,H:Arquivado
1646,"Trânsito em Julgado às partes - Proc. em Andamento Certifico e dou fé que a r. sentença de fls. 88 transitou em julgado em 20/05/2016. Nada Mais. Sorocaba, 11 de julho de 2016. Eu, ___, Fábio da Silva Cesar, Escrevente Técnico Judiciário.",H:Arquivado
1647,Suspensão do Prazo Prazo referente ao usuário foi alterado para 22/04/2019 devido à alteração da tabela de feriados,H:Ativo
1648,Arquivado Definitivamente,H:Arquivado
1649,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Execução de Título Extrajudicial - Número: 80010 - Protocolo: FRPR19000265290,H:Suspenso
1650,Certidão de Publicação Expedida Relação :0595/2018 Data da Disponibilização: 10/12/2018 Data da Publicação: 11/12/2018 Número do Diário: 2714 Página: 1432/1436,H:Ativo
1651,Mero Expediente,H:Ativo
1652,Mensagem Eletrônica (e-mail) Juntada,H:Arquivado
1653,Conclusos para Despacho,H:Ativo
1654,Certidão de Cartório Expedida Certidão - Genérica,H:Ativo
1655,Despacho,H:Ativo
1656,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados REMETIDO( devolvido ) AO ARQUIVO 1 E 2 VOL,H:Arquivado
1657,Baixa Definitiva,H:Arquivado
1658,Para O(S) Autor(Es) Ed.Nº 3479 Sol.Nº 3169 Publicação De Notificação Ciência Despacho,H:Ativo
1659,Recebidos os Autos da Procuradoria Federal Procuradoria da Caixa Econômica Federal. Tipo de local de destino: Cartório Especificação do local de destino: Cartório da SAF - Setor de Anexo Fiscal,H:Ativo
1660,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Procedimento Comum - Número: 80009 - Protocolo: FFPA18002279829,H:Ativo
1661,Arquivado Definitivamente,H:Arquivado
1662,Tipo do Movimento:Publicado  Atos da Serventia Folhas do DJERJ.:1018/1057,H:Ativo
1663,Suspensão do Prazo Prazo referente ao usuário foi alterado para 21/03/2019 devido à alteração da tabela de feriados,H:Ativo
1664,Tipo do Movimento:Recebidos os autos Prazo:5 dia(s),H:Ativo
1665,Início da Execução Juntado Seq.: 01 - Cumprimento de sentença,H:Ativo
1666,Baixa Definitiva,H:Arquivado
1667,Tipo do Movimento:Ato Ordinatório Praticado Descrição:Ao interessado para que se manifeste sobre a Certidão do Oficial de Justiça.,H:Ativo
1668,Baixa Definitiva Remetidos ao arquivo (TJ: 08.06.2015),H:Arquivado
1669,Cancelada a Distribuição (movimentação exclusiva do distribuidor) Cancelado conforme r. decisão de fls. 40,H:Ativo
1670,Suspensão do Prazo Prazo referente ao usuário foi alterado para 24/07/2019 devido à alteração da tabela de feriados,H:Ativo
1671,Certidão de Não Consulta ao Teor da Informação - Contagem de Prazo do Ato - Expedida Certidão de Não Leitura - Contagem de Prazo do Ato,H:Ativo
1672,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
1673,Ofício Juntado,H:Arquivado
1674,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 2ª. Vara Cível,H:Arquivado
1675,Arquivado Definitivamente,H:Arquivado
1676,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:7659Maço recebido pelo arquivo em:30/08/2012Local de arquivamento:Arquivo Geral - Rio de Janeiro,H:Arquivado
1677,Certidão de Publicação Expedida Relação :0159/2018 Data da Disponibilização: 20/07/2018 Data da Publicação: 23/07/2018 Número do Diário: 2620/2018 Página: 2216 e ss,H:Ativo
1678,Certidão de Publicação Expedida Relação :0125/2019 Data da Disponibilização: 28/02/2019 Data da Publicação: 01/03/2019 Número do Diário: 2759 Página: 3944,H:Ativo
1679,Arquivado Definitivamente ARQUIVADO EM 24/2/2017 CX: 3944/2017.,H:Arquivado
1680,Arquivado Definitivamente 855/2018CIVEL,H:Arquivado
1681,Início da Execução Juntado 0008003-11.2018.8.26.0002 - Cumprimento de sentença,H:Suspenso
1682,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados Arquivo Geral 1º Volume do Cumprimento de sentença nº 0011772-34.2012/01 que está entranhado no Procedimento Ordinário nº 0011772-34.2012: ambos no Pacote 10066/2015,H:Arquivado
1683,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 13ª Vara de Fazenda Pública,H:Ativo
1684,Suspensão do Prazo Prazo referente à movimentação foi alterado para 26/03/2019 devido à alteração da tabela de feriados,H:Ativo
1685,Arquivado Definitivamente Arquivo,H:Arquivado
1686,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Procedimento Comum Cível - Número: 80009 - Protocolo: FFPA19000432272,H:Ativo
1687,Trânsito em Julgado às partes - com Baixa,H:Arquivado
1688,Arquivado Definitivamente,H:Arquivado
1689,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
1690,Arquivado Definitivamente - Processo Findo com Condenação CX. 3174/18,H:Arquivado
1691,Certidão de Não Consulta ao Teor da Informação - Contagem de Prazo do Ato - Expedida Certidão de Não Leitura - Contagem de Prazo do Ato,H:Ativo
1692,Início da Execução Juntado 0007309-49.2019.8.26.0053 - Cumprimento de Sentença contra a Fazenda Pública,H:Ativo
1693,Remetidos os Autos para o Colégio Recursal Tipo de local de destino: Colégio Recursal Especificação do local de destino: Colégio Recursal,H:Ativo
1694,Carta de Intimação Expedida Carta - Intimação - Genérica - Com Despacho - Juizado,H:Ativo
1695,Arquivado Definitivamente,H:Arquivado
1696,Certidão de Objeto e Pé Expedida Certidão - Objeto e Pé - Criminal,H:Ativo
1697,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
1698,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
1699,Arquivado Definitivamente Trânsito em julgado em 30/11/2016,H:Arquivado
1700,Tipo do Movimento:Digitação de Documentos ,H:Ativo
1701,AR Positivo Juntado Juntada de AR : AR928585956TJ Situação : Cumprido Modelo : Processo Digital - Carta - Intimação - Despacho-Ato Ordinatório - Juizado Destinatário : André de Melo Fattori Abbade Miguel Diligência : 31/01/2019,H:Ativo
1702,Início da Execução Juntado 0015388-10.2018.8.26.0002 - Cumprimento de sentença,H:Arquivado
1703,Arquivado Provisoriamente,H:Suspenso
1704,Certidão de Publicação Expedida Relação :0197/2016 Data da Disponibilização: 24/08/2016 Data da Publicação: 25/08/2016 Número do Diário: 2186 Página: 1156/1174,H:Arquivado
1705,Arquivado Definitivamente exec. judicial,H:Arquivado
1706,Arquivado Definitivamente,H:Arquivado
1707,"Ato Ordinatório - Publicável Em cumprimento a r. decisão/sentença de fls. 549, expedi MLE em favor do Dr. Nelson Barbosa, no valor de 880,36, referente ao(s) depósito(s) de fls. 529 e 530. Nada Mais.",H:Ativo
1708,Suspensão do Prazo Prazo referente ao usuário foi alterado para 18/03/2020 devido à alteração da tabela de feriados,H:Ativo
1709,Arquivado Definitivamente,H:Arquivado
1710,"Edital 118/2016Publicado No Doe Nº 3317, Em 22/07/2016 Publicação De Edital",H:Ativo
1711,Conclusos para Despacho,H:Ativo
1712,Arquivado Definitivamente,H:Arquivado
1713,Mensagem Eletrônica (e-mail) Juntada,H:Arquivado
1714,Arquivado Definitivamente nos termos do Comunicado CG n.º 1789/2017.,H:Arquivado
1715,Certidão de Publicação Expedida Relação :0052/2019 Data da Disponibilização: 19/02/2019 Data da Publicação: 20/02/2019 Número do Diário: Página:,H:Ativo
1716,Suspensão do Prazo Prazo referente ao usuário foi alterado para 30/03/2016 devido à alteração da tabela de feriados,H:Arquivado
1717,Arquivado Definitivamente CX: 3002 - 02 vol.,H:Arquivado
1718,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Unidade de Processamento das Execuções contra a Fazenda Pública da Comarca da Capital - UPEFAZ,H:Ativo
1719,Tipo do Movimento:Ato Ordinatório Praticado Descrição:Certifico que as contrarrazões de fls. 179/185 são tempestivas.,H:Ativo
1720,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:10302Maço recebido pelo arquivo em:24/11/2017Local de arquivamento:Arquivo Geral - Rio de Janeiro,H:Arquivado
1721,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
1722,Certidão de Trânsito em Julgado com Baixa Expedida Certifico e dou fé que a r. sentença de fls. 56 transitou em julgado em 07/07/2017. Certifico ainda que o processo foi baixado definitivamente no sistema. Nada Mais.,H:Arquivado
1723,Certidão de Objeto e Pé Expedida Certidão - Objeto e Pé - Cível,H:Arquivado
1724,Arquivado Definitivamente,H:Arquivado
1725,Certidão de Publicação Expedida Relação :0254/2018 Data da Disponibilização: 31/07/2018 Data da Publicação: 01/08/2018 Número do Diário: 2627 Página: 1105/1115,H:Ativo
1726,Documento Juntado,H:Arquivado
1727,Petição Juntada Nº Protocolo: WFPA.19.70122119-2 Tipo da Petição: Petições Diversas Data: 14/03/2019 10:04,H:Ativo
1728,Para O(S) Autor(Es) E Réu(S) Ed.Nº 3331 Sol.Nº 1306 Publicação De Conversão Para Meio Eletrônico,H:Arquivado
1729,Certidão de Publicação Expedida Relação :0180/2019 Data da Disponibilização: 11/03/2019 Data da Publicação: 12/03/2019 Número do Diário: 2764 Página: 2944/2946,H:Ativo
1730,Mudança de Classe Processual,H:Arquivado
1731,Remetidos os Autos para o Ministério Público com Vista Tipo de local de destino: Ministério Público Especificação do local de destino: Ministério Público Vencimento: 03/04/2019,H:Ativo
1732,Certidão de Publicação Expedida Relação :1119/2017 Data da Disponibilização: 23/06/2017 Data da Publicação: 26/06/2017 Número do Diário: 2373 Página: 1208/1213,H:Ativo
1733,Arquivamento Provisório - Cumprimento de Sentença Digital,H:Suspenso
1734,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
1735,Tipo do Movimento:Juntada - Petição Descrição da juntada:Documento eletrônico juntado de forma automática.,H:Ativo
1736,Certidão de Trânsito em Julgado com Baixa Expedida Certidão - Trânsito em Julgado com Baixa - Processo Digital,H:Arquivado
1737,Certidão de Publicação Expedida Relação :0038/2019 Data da Disponibilização: 06/02/2019 Data da Publicação: 07/02/2019 Número do Diário: 2743 Página: 705,H:Suspenso
1738,Arquivado Definitivamente,H:Arquivado
1739,Suspensão do Prazo Prazo referente ao usuário foi alterado para 20/11/2018 devido à alteração da tabela de feriados Prazo referente ao usuário foi alterado para 20/11/2018 devido à alteração da tabela de feriados,H:Ativo
1740,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:5477Situação:Em fase de encaminhamento ao arquivo,H:Arquivado
1741,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:1646Maço recebido pelo arquivo em:08/02/2018Local de arquivamento:Arquivo Regional de Rio Bonito,H:Arquivado
1742,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
1743,Arquivado Provisoriamente Ag. provocação,H:Suspenso
1744,Arquivado Definitivamente PROCESSO RETORNOU AO ARQUIVO EM 14/09/2017 NO SUBMALOTE NR GSOFSM28502,H:Arquivado
1745,Suspensão do Prazo Prazo referente à carga foi alterado para 11/04/2018 devido à alteração da tabela de feriados,H:Ativo
1746,Petição Renúncia de Mandato/Encargo Juntado Juntada a petição diversa - Tipo: Renúncia de Mandato/Encargo em Usucapião - Número: 80012 - Protocolo: FJAU18000368357,H:Ativo
1747,Suspensão do Prazo Prazo referente ao usuário foi alterado para 24/05/2019 devido à alteração da tabela de feriados,H:Ativo
1748,Trânsito em Julgado às partes - com Baixa Caixa 3512/15,H:Arquivado
1749,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
1750,Arquivado Definitivamente Nos termos do Comunicado CG nº 1789/2017 (DJE de 02/08/2017).,H:Arquivado
1751,Arquivado Definitivamente,H:Arquivado
1752,Baixa Definitiva,H:Arquivado
1753,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
1754,Arquivado Provisoriamente RETORNO AO ARQUIVO PACOTE 1054/2012 - AGUARDANDO PROVOCAÇÃO EM ARQUIVO,H:Suspenso
1755,Serventuário MINUTA 05/12/18,H:Ativo
1756,Suspensão do Prazo Prazo referente ao usuário foi alterado para 15/02/2019 devido à alteração da tabela de feriados,H:Ativo
1757,Início da Execução Juntado 0026724-52.2018.8.26.0053 - Cumprimento Provisório de Sentença,H:Ativo
1758,Remetida a Carta Precatória ao Cartório de Origem Sem Cumprimento,H:Arquivado
1759,Tipo do Movimento:Publicado  Despacho Folhas do DJERJ.:123/131,H:Ativo
1760,Autos no Prazo 19/03,H:Arquivado
1761,Suspensão do Prazo Prazo referente ao usuário foi alterado para 10/05/2019 devido à alteração da tabela de feriados,H:Ativo
1762,Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Privado Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal,H:Ativo
1763,Conclusos para Despacho,H:Ativo
1764,Trânsito em Julgado às partes - com Baixa,H:Arquivado
1765,Petição Juntada Nº Protocolo: WBRU.18.70289927-2 Tipo da Petição: Petições Diversas Data: 22/11/2018 11:50,H:Arquivado
1766,Tipo do Movimento:Envio de Documento Eletrônico ,H:Ativo
1767,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
1768,Suspensão do Prazo Prazo referente ao usuário foi alterado para 29/04/2019 devido à alteração da tabela de feriados,H:Ativo
1769,Remetida a Carta Precatória ao Cartório de Origem Cumprida Negativa CARTA PRECATORIA DEVOLVIDA PARA COMARCA DE SÃO PAULO - SP,H:Arquivado
1770,Tipo do Movimento:Trânsito em Julgado ,H:Arquivado
1771,Início da Execução Juntado 0005036-68.2017.8.26.0053 - Cumprimento Provisório de Sentença,H:Ativo
1772,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:3336Maço recebido pelo arquivo em:20/07/2015Local de arquivamento:Arquivo Geral - Rio de Janeiro,H:Arquivado
1773,Conclusos para Despacho,H:Ativo
1774,Mudança de Classe Processual,H:Suspenso
1775,Expedição de documento,H:Ativo
1776,Arquivado Provisoriamente,H:Suspenso
1777,Remetida a Carta Precatória ao Cartório de Origem Cumprida Positiva CARTA PRECATÓRIA DEVOLVIDA AO JUÍZO DEPRECANTE EM 20/08/2015,H:Arquivado
1778,Certidão de Publicação Expedida Relação :0061/2019 Data da Disponibilização: 14/02/2019 Data da Publicação: 15/02/2019 Número do Diário: Página:,H:Ativo
1779,Conclusos para Sentença,H:Ativo
1780,Certidão de Trânsito em Julgado com Baixa Expedida Certifico e dou fé que a r. sentença de fls. 145 transitou em julgado em 01/12/2016. Certifico ainda que o processo foi baixado e arquivado definitivamente no sistema. Nada Mais.,H:Arquivado
1781,Protocolo Juntado,H:Arquivado
1782,Arquivado Definitivamente,H:Arquivado
1783,Arquivado Definitivamente Arquivado em 17/02/2017,H:Arquivado
1784,Arquivado Definitivamente,H:Arquivado
1785,Arquivado Definitivamente ARQUIVO GERAL 24/10/18,H:Arquivado
1786,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Ação de Exigir Contas - Número: 80008 - Protocolo: FRPR19000079648,H:Ativo
1787,Mandado Juntado,H:Ativo
1788,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados,H:Arquivado
1789,Conclusos para Despacho,H:Ativo
1790,Suspensão do Prazo Prazo referente ao usuário foi alterado para 15/02/2016 devido à alteração da tabela de feriados,H:Ativo
1791,Tipo do Movimento:Recebimento ,H:Ativo
1792,"Trânsito em Julgado às partes - Com Baixa - Sentenças do art. 267, I, IV, VI e IX do CPC - Sem Citação",H:Arquivado
1793,Remetidos os Autos para o Tribunal de Justiça - Seção de Direito Público Todos os volumes Tipo de local de destino: Tribunal de Justiça de São Paulo Especificação do local de destino: Tribunal de Justiça de São Paulo GUIA DE TRANSPORTE.:0000343992 / 2017,H:Ativo
1794,Homologada A Transação De Acordos Obtidos Por Conciliadores,H:Arquivado
1795,Arquivado Definitivamente,H:Arquivado
1796,Arquivado Definitivamente,H:Arquivado
1797,Arquivado Definitivamente rearquivo 31.07.18,H:Arquivado
1798,Tipo do Movimento:Ato Ordinatório Praticado Descrição:Certifico que não há custas pendentes de recolhimento nos presentes autos.,H:Arquivado
1799,Certidão de Publicação Expedida Relação :0067/2018 Data da Disponibilização: 09/03/2018 Data da Publicação: 12/03/2018 Número do Diário: 2532 Página: 3018/3022,H:Arquivado
1800,Arquivado Provisoriamente arquivo provisório,H:Suspenso
1801,Petição Juntada Nº Protocolo: WFPA.19.70066361-2 Tipo da Petição: Petições Diversas Data: 14/02/2019 13:30,H:Ativo
1802,Arquivado Definitivamente,H:Arquivado
1803,Carta de Intimação Expedida Processo Digital - Carta - Intimação - Despacho-Ato Ordinatório - Genérica,H:Ativo
1804,Auto de Depósito Juntado Juntada a petição diversa - Tipo: Auto de Depósito em Ação Penal - Procedimento Ordinário - Número: 80001 - Protocolo: FTSR17000098285,H:Arquivado
1805,Arquivado Definitivamente,H:Arquivado
1806,Certidão de Publicação Expedida Relação :0020/2019 Data da Disponibilização: 30/01/2019 Data da Publicação: 31/01/2019 Número do Diário: 2738 Página: 1989/2009,H:Ativo
1807,Certidão de Publicação Expedida Relação :0070/2016 Data da Disponibilização: 30/09/2016 Data da Publicação: 03/10/2016 Número do Diário: 2212 Página: 481,H:Arquivado
1808,Arquivado Definitivamente,H:Arquivado
1809,Tipo do Movimento:Juntada - Cota Descrição da juntada:Documento eletrônico juntado de forma automática.,H:Arquivado
1810,Tipo do Movimento:Ato Ordinatório Praticado Descrição:Certifico e dou fé que remeti os autos ao arquivo judicial.,H:Arquivado
1811,Arquivado Provisoriamente,H:Suspenso
1812,"Arquivado Definitivamente Sentença proferida em 27/07/2015 transitada em julgado em 17/08/2015, foi julgada improcedente a ação nos termos do artigo 269, inciso I do CPC.",H:Arquivado
1813,Certidão de Publicação Expedida Relação :0104/2019 Data da Disponibilização: 25/03/2019 Data da Publicação: 26/03/2019 Número do Diário: 2774 Página: 138-142,H:Ativo
1814,Arquivado Provisoriamente arquivado - aguardando cumprimento do acordo,H:Suspenso
1815,Arquivado Definitivamente Comunicado CG nº 1789/2017.,H:Arquivado
1816,Certidão de Publicação Expedida Relação :0681/2019 Data da Disponibilização: 28/03/2019 Data da Publicação: 29/03/2019 Número do Diário: 2777 Página: 1650a1657,H:Ativo
1817,Mudança de Classe Processual,H:Arquivado
1818,Réplica Juntada Nº Protocolo: WFPA.19.70143668-7 Tipo da Petição: Manifestação Sobre a Contestação Data: 23/03/2019 11:43,H:Ativo
1819,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 13ª Vara de Fazenda Pública,H:Ativo
1820,Arquivado Definitivamente,H:Arquivado
1821,Arquivamento Provisório - Cumprimento de Sentença Digital ARQUIVO PROVISORIO,H:Suspenso
1822,Remetidos os Autos para o Arquivo Geral – Devolução de Feitos Não Reativados Retorno para Recall - Caixa 3417,H:Arquivado
1823,Arquivado Provisoriamente,H:Suspenso
1824,Início da Execução Juntado 0002872-62.2019.8.26.0053 - Cumprimento Provisório de Sentença,H:Ativo
1825,Certidão de Publicação Expedida Relação :0526/2018 Data da Disponibilização: 08/11/2018 Data da Publicação: 09/11/2018 Número do Diário: 2696 Página: 1098/1111,H:Ativo
1826,Petição Juntada Nº Protocolo: WFPA.19.70125049-4 Tipo da Petição: Petições Diversas Data: 15/03/2019 09:28,H:Ativo
1827,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Reintegração / Manutenção de Posse - Número: 80010 - Protocolo: FCAS18001682204,H:Ativo
1828,Tipo do Movimento:Recebimento ,H:Ativo
1829,Arquivado Definitivamente Caixa nº 9787/15,H:Arquivado
1830,Tipo do Movimento:Arquivamento Tipo de arquivamento:definitivoMaço:3716Maço recebido pelo arquivo em:24/11/2016Local de arquivamento:Arquivo Geral - Rio de Janeiro,H:Arquivado
1831,Certidão de Cartório Expedida Certidão - Genérica,H:Ativo
1832,Petição Juntada Juntada a petição diversa - Tipo: Petições Diversas em Procedimento Comum - Número: 80003 - Protocolo: FFPA18001672473,H:Ativo
1833,Certidão de Cartório Expedida Certidão - Genérica,H:Ativo
1834,Certidão de Cartório Expedida Certidão - Genérica,H:Arquivado
1835,Arquivado Definitivamente Pacote 15698/17 com dois volumes e um apenso,H:Arquivado
1836,Certidão de Publicação Expedida Relação :0198/2018 Data da Disponibilização: 21/06/2018 Data da Publicação: 22/06/2018 Número do Diário: Ed. 2600 Página: 2709/2715,H:Ativo
1837,Suspensão do Prazo Prazo referente à movimentação foi alterado para 23/05/2019 devido à alteração da tabela de feriados,H:Ativo
1838,Tipo do Movimento:Conclusão ao Juiz Juiz:CARLO ARTUR BASILICO,H:Ativo
1839,Tipo do Movimento:Início da Execução ,H:Ativo
1840,Remetidos os Autos para o Tribunal de Justiça/Colégio Recursal - Processo Digital,H:Ativo
1841,Arquivado Definitivamente,H:Arquivado
1842,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório do Setor de Execuções contra a FazPública,H:Ativo
1843,Recebidos os Autos do Advogado Tipo de local de destino: Cartório Especificação do local de destino: Cartório da 1ª Vara da Fazenda Pública,H:Arquivado
1844,Autos no Prazo prazo 06.02.2019,H:Ativo
1845,Petição Juntada Nº Protocolo: WFPA.17.80015523-4 Tipo da Petição: Petição Intermediária Data: 08/03/2017 15:00,H:Ativo
1846,AR Positivo Juntado,H:Arquivado
